ENTIDAD,DISTRITO,grupo_parlamentario,VOTOS,coalicion,tipo_eleccion
AGUASCALIENTES,1,PAN,66312.04651305397,,MR
AGUASCALIENTES,2,PAN,69779.61594426147,,MR
AGUASCALIENTES,3,PAN,76258.18213727916,,MR
AGUASCALIENTES,4,PAN,58246.15540540541,,MR
BAJA CALIFORNIA,1,MORENA,88653.67305727306,,MR
BAJA CALIFORNIA,2,MORENA,126217.80734883748,,MR
BAJA CALIFORNIA,3,MORENA,123664.8770107347,,MR
BAJA CALIFORNIA,4,MORENA,136551.07821811488,,MR
BAJA CALIFORNIA,5,MORENA,148839.92622285173,,MR
BAJA CALIFORNIA,6,MORENA,88443.63814218814,,MR
BAJA CALIFORNIA SUR,1,MORENA,31042.822408077158,,MR
BAJA CALIFORNIA SUR,2,MORENA,48098.37537673297,,MR
BAJA CALIFORNIA SUR,3,MORENA,60220.80221518988,,MR
CAMPECHE,1,MORENA,55179.33220166356,,MR
CAMPECHE,2,MORENA,64155.256492955355,,MR
CAMPECHE,3,MORENA,65252.41130538109,,MR
CHIAPAS,1,MORENA,119490.19262061053,,MR
CHIAPAS,2,MORENA,89320.97628797629,,MR
CHIAPAS,3,MORENA,97095.40354121922,,MR
CHIAPAS,4,MORENA,97732.94214279932,,MR
CHIAPAS,5,MORENA,130605.48540739465,,MR
CHIHUAHUA,1,MORENA,55248.142570281125,,MR
CHIHUAHUA,2,MORENA,65724.76381998582,,MR
CHIHUAHUA,3,MORENA,64239.093609733056,,MR
COAHUILA,1,MORENA,68641.77857275246,,MR
COAHUILA,2,PRI,114866.0594308124,,MR
COAHUILA,3,MORENA,90833.35516958503,,MR
COAHUILA,4,PRI,100612.76811331863,,MR
COAHUILA,5,MORENA,67936.04262115179,,MR
COAHUILA,6,PRI,48175.31903387734,,MR
COAHUILA,7,MORENA,67488.44505319349,,MR
COAHUILA,8,MORENA,60218.52083327457,,MR
COLIMA,1,MORENA,31667.92774461928,,MR
COLIMA,3,MORENA,38741.323566648585,,MR
COLIMA,4,MORENA,30056.387457044675,,MR
COLIMA,5,MORENA,25931.361231687464,,MR
CIUDAD DE MEXICO,1,MORENA,160544.40281941707,,MR
CIUDAD DE MEXICO,2,MORENA,192833.34315394622,,MR
CIUDAD DE MEXICO,3,MORENA,184749.45343783894,,MR
CIUDAD DE MEXICO,4,MORENA,229369.9809145353,,MR
CIUDAD DE MEXICO,5,MORENA,59474.080308854354,,MR
CIUDAD DE MEXICO,6,MORENA,233063.94460585646,,MR
CIUDAD DE MEXICO,7,MORENA,159641.2547531529,,MR
CIUDAD DE MEXICO,8,MORENA,251631.78413749748,,MR
CIUDAD DE MEXICO,9,PAN,200569.1913310459,,MR
CIUDAD DE MEXICO,10,MORENA,213194.9132504651,,MR
CIUDAD DE MEXICO,11,MORENA,175465.38705508353,,MR
CIUDAD DE MEXICO,12,MORENA,213706.63229479932,,MR
DURANGO,1,MORENA,70852.7086704305,,MR
DURANGO,2,MORENA,82794.24891013718,,MR
DURANGO,3,MORENA,76788.20961694955,,MR
DURANGO,4,MORENA,72137.8328024828,,MR
GUANAJUATO,1,PAN,139780.77166618398,,MR
GUANAJUATO,2,MORENA,119969.56973361135,,MR
GUANAJUATO,3,PAN,104478.28624654916,,MR
GUANAJUATO,4,MORENA,109098.24024000461,,MR
GUANAJUATO,5,PAN,151973.81802404174,,MR
GUANAJUATO,6,PAN,149271.56878538537,,MR
GUANAJUATO,7,MORENA,91219.32702224787,,MR
GUANAJUATO,8,MORENA,134010.1609255671,,MR
GUANAJUATO,9,MORENA,117505.97976661481,,MR
