Año,Escenario,Partido,Votos_%,MR,PM,RP,Total,Diff_MORENA_MR,Diff_MORENA_PM,Diff_MORENA_RP,Diff_MORENA_Total,Escaños_%
2021,MR 200 - RP 200,PAN,18.93,39,0,52,91,30,0,-2,28,22.75
2021,MR 200 - RP 200,PRI,18.39,18,0,42,60,30,0,-2,28,15.0
2021,MR 200 - RP 200,PRD,3.78,0,0,16,16,30,0,-2,28,4.0
2021,MR 200 - RP 200,PVEM,5.64,2,0,16,18,30,0,-2,28,4.5
2021,MR 200 - RP 200,PT,3.37,0,0,12,12,30,0,-2,28,3.0
2021,MR 200 - RP 200,MC,7.28,10,0,20,30,30,0,-2,28,7.5
2021,MR 200 - RP 200,MORENA,35.36,131,0,42,173,30,0,-2,28,43.25
2021,MR 200 - RP 200,PES,2.85,0,0,0,0,30,0,-2,28,0.0
2021,MR 200 - RP 200,RSP,1.83,0,0,0,0,30,0,-2,28,0.0
2021,MR 200 - RP 200,FXM,2.57,0,0,0,0,30,0,-2,28,0.0
2024,MR 200 - RP 200,PAN,17.58,25,0,47,72,30,0,-2,28,18.0
2024,MR 200 - RP 200,PRI,11.59,4,0,34,38,30,0,-2,28,9.5
2024,MR 200 - RP 200,PRD,2.54,0,0,0,0,30,0,-2,28,0.0
2024,MR 200 - RP 200,PVEM,8.74,4,0,27,31,30,0,-2,28,7.75
2024,MR 200 - RP 200,PT,5.69,0,0,26,26,30,0,-2,28,6.5
2024,MR 200 - RP 200,MC,11.37,6,0,26,32,30,0,-2,28,8.0
2024,MR 200 - RP 200,MORENA,42.49,161,0,40,201,30,0,-2,28,50.25
2021,MR 300 - RP 100,PAN,18.93,71,0,20,91,25,0,3,28,22.75
2021,MR 300 - RP 100,PRI,18.39,29,0,20,49,25,0,3,28,12.25
2021,MR 300 - RP 100,PRD,3.78,2,0,4,6,25,0,3,28,1.5
2021,MR 300 - RP 100,PVEM,5.64,26,0,6,32,25,0,3,28,8.0
2021,MR 300 - RP 100,PT,3.37,29,0,4,33,25,0,3,28,8.25
2021,MR 300 - RP 100,MC,7.28,8,0,8,16,25,0,3,28,4.0
2021,MR 300 - RP 100,MORENA,35.36,135,0,38,173,25,0,3,28,43.25
2021,MR 300 - RP 100,PES,2.85,0,0,0,0,25,0,3,28,0.0
2021,MR 300 - RP 100,RSP,1.83,0,0,0,0,25,0,3,28,0.0
2021,MR 300 - RP 100,FXM,2.57,0,0,0,0,25,0,3,28,0.0
2024,MR 300 - RP 100,PAN,17.58,33,0,20,53,25,0,3,28,13.25
2024,MR 300 - RP 100,PRI,11.59,9,0,13,22,25,0,3,28,5.5
2024,MR 300 - RP 100,PRD,2.54,1,0,0,1,25,0,3,28,0.25
2024,MR 300 - RP 100,PVEM,8.74,58,0,8,66,25,0,3,28,16.5
2024,MR 300 - RP 100,PT,5.69,38,0,6,44,25,0,3,28,11.0
2024,MR 300 - RP 100,MC,11.37,1,0,12,13,25,0,3,28,3.25
2024,MR 300 - RP 100,MORENA,42.49,160,0,41,201,25,0,3,28,50.25
2021,MR 200 - PM 200,PAN,18.93,39,0,0,40,30,0,0,30,10.0
2021,MR 200 - PM 200,PRI,18.39,18,0,0,19,30,0,0,30,4.75
2021,MR 200 - PM 200,PRD,3.78,0,0,0,1,30,0,0,30,0.25
2021,MR 200 - PM 200,PVEM,5.64,2,0,0,3,30,0,0,30,0.75
2021,MR 200 - PM 200,PT,3.37,0,0,0,1,30,0,0,30,0.25
2021,MR 200 - PM 200,MC,7.28,10,0,0,11,30,0,0,30,2.75
2021,MR 200 - PM 200,MORENA,35.36,131,0,0,132,30,0,0,30,33.0
2021,MR 200 - PM 200,PES,2.85,0,0,0,0,30,0,0,30,0.0
2021,MR 200 - PM 200,RSP,1.83,0,0,0,0,30,0,0,30,0.0
2021,MR 200 - PM 200,FXM,2.57,0,0,0,0,30,0,0,30,0.0
2024,MR 200 - PM 200,PAN,17.58,25,0,0,26,30,0,0,30,6.5
2024,MR 200 - PM 200,PRI,11.59,4,0,0,5,30,0,0,30,1.25
2024,MR 200 - PM 200,PRD,2.54,0,0,0,0,30,0,0,30,0.0
2024,MR 200 - PM 200,PVEM,8.74,4,0,0,5,30,0,0,30,1.25
2024,MR 200 - PM 200,PT,5.69,0,0,0,1,30,0,0,30,0.25
2024,MR 200 - PM 200,MC,11.37,6,0,0,7,30,0,0,30,1.75
2024,MR 200 - PM 200,MORENA,42.49,161,0,0,162,30,0,0,30,40.5
2021,MR 300 - PM 100,PAN,18.93,71,0,0,72,25,0,0,25,18.0
2021,MR 300 - PM 100,PRI,18.39,29,0,0,30,25,0,0,25,7.5
2021,MR 300 - PM 100,PRD,3.78,2,0,0,3,25,0,0,25,0.75
2021,MR 300 - PM 100,PVEM,5.64,26,0,0,27,25,0,0,25,6.75
2021,MR 300 - PM 100,PT,3.37,29,0,0,30,25,0,0,25,7.5
2021,MR 300 - PM 100,MC,7.28,8,0,0,9,25,0,0,25,2.25
2021,MR 300 - PM 100,MORENA,35.36,135,0,0,136,25,0,0,25,34.0
2021,MR 300 - PM 100,PES,2.85,0,0,0,0,25,0,0,25,0.0
2021,MR 300 - PM 100,RSP,1.83,0,0,0,0,25,0,0,25,0.0
2021,MR 300 - PM 100,FXM,2.57,0,0,0,0,25,0,0,25,0.0
2024,MR 300 - PM 100,PAN,17.58,33,0,0,34,25,0,0,25,8.5
2024,MR 300 - PM 100,PRI,11.59,9,0,0,10,25,0,0,25,2.5
2024,MR 300 - PM 100,PRD,2.54,1,0,0,1,25,0,0,25,0.25
2024,MR 300 - PM 100,PVEM,8.74,58,0,0,59,25,0,0,25,14.75
2024,MR 300 - PM 100,PT,5.69,38,0,0,39,25,0,0,25,9.75
2024,MR 300 - PM 100,MC,11.37,1,0,0,2,25,0,0,25,0.5
2024,MR 300 - PM 100,MORENA,42.49,160,0,0,161,25,0,0,25,40.25
2021,MR 200 - RP 200,COALICIÓN MORENA+PT+PVEM,44.37,133,0,70,203,30,0,-2,28,50.75
2021,MR 200 - RP 200,COALICIÓN PAN+PRI+PRD,41.1,57,0,110,167,30,0,-2,28,41.75
2024,MR 200 - RP 200,COALICIÓN MORENA+PT+PVEM,56.92,165,0,93,258,30,0,-2,28,64.5
2024,MR 200 - RP 200,COALICIÓN PAN+PRI+PRD,31.709999999999997,29,0,81,110,30,0,-2,28,27.5
2021,MR 300 - RP 100,COALICIÓN MORENA+PT+PVEM,44.37,190,0,48,238,25,0,3,28,59.5
2021,MR 300 - RP 100,COALICIÓN PAN+PRI+PRD,41.1,102,0,44,146,25,0,3,28,36.5
2024,MR 300 - RP 100,COALICIÓN MORENA+PT+PVEM,56.92,256,0,55,311,25,0,3,28,77.75
2024,MR 300 - RP 100,COALICIÓN PAN+PRI+PRD,31.709999999999997,43,0,33,76,25,0,3,28,19.0
2021,MR 200 - PM 200,COALICIÓN MORENA+PT+PVEM,44.37,133,0,0,136,30,0,0,30,34.0
2021,MR 200 - PM 200,COALICIÓN PAN+PRI+PRD,41.1,57,0,0,60,30,0,0,30,15.0
2024,MR 200 - PM 200,COALICIÓN MORENA+PT+PVEM,56.92,165,0,0,168,30,0,0,30,42.0
2024,MR 200 - PM 200,COALICIÓN PAN+PRI+PRD,31.709999999999997,29,0,0,31,30,0,0,30,7.75
2021,MR 300 - PM 100,COALICIÓN MORENA+PT+PVEM,44.37,190,0,0,193,25,0,0,25,48.25
2021,MR 300 - PM 100,COALICIÓN PAN+PRI+PRD,41.1,102,0,0,105,25,0,0,25,26.25
2024,MR 300 - PM 100,COALICIÓN MORENA+PT+PVEM,56.92,256,0,0,259,25,0,0,25,64.75
2024,MR 300 - PM 100,COALICIÓN PAN+PRI+PRD,31.709999999999997,43,0,0,45,25,0,0,25,11.25
