NOMBRE_ESTADO,ENTIDAD,DF_2021,AÑO_ELECCION,swing_PAN,swing_PRI,swing_PRD,swing_PVEM,swing_PT,swing_MC,swing_MORENA,swing_VA_X_MEX_PAN_PRI_PRD,swing_JUNTOS_PT_MORENA
Aguascalientes,1,1,2022,1.6686075262813662,-42.7330606737783,-44.68508837440876,-90.80214815446254,-80.60031185031184,1.4166923313828148,-9.808142061800194,-13.425739638704759,-19.53475086140717
Aguascalientes,1,2,2022,-41.75197154785836,-49.03436664355749,1.6809038302562689,-75.48806941431671,-63.45300524405002,48.43035179050324,7.668459041805939,-40.67937139649982,3.639894893179485
Aguascalientes,1,3,2022,-26.069694766013484,-29.649218324648054,8.952451708766716,-69.16210768787792,-39.7081026673377,79.2368125701459,35.436245057258766,-25.658315360549665,31.788532479906184
Coahuila,5,1,2023,-75.48174687711824,23.95548191903184,377.8586278586279,-62.62310276908817,56.30562013950132,-100.0,-57.90739810289438,1.7460852431815832,-39.679086907564745
Coahuila,5,2,2023,-73.03303629645728,1.3579970203172176,277.40932642487047,-77.33226837060703,1924.1494329553036,-100.0,-45.88609329605876,-7.3372079724685735,-6.231956063434085
Coahuila,5,3,2023,-73.52482453860151,25.221741348384867,146.11553784860558,90.61326658322903,3797.387669801463,-100.0,-32.88153362288453,-19.722219819944474,34.533683997572325
Coahuila,5,4,2023,-32.069016080942376,-3.594126912443411,24.85074626865672,9.295136026380874,1391.7665867306157,-100.0,-39.140819964349376,-8.430000177641983,-7.9283709089641
Coahuila,5,5,2023,-66.27947255386462,-5.969948116703726,135.16377649325625,173.646408839779,1059.2592592592594,-100.0,-46.20266519502021,-26.764294029321956,-27.625993425042296
Coahuila,5,6,2023,-40.20647583294228,-15.336461260537938,7.638603696098563,-24.11448450347881,414.0120210368144,-100.0,-42.07640692985672,-19.918420213228682,-23.513492852228424
Coahuila,5,7,2023,-46.613043135399415,3.00263234127234,-61.53227104458394,81.85603807257584,970.4652378463146,-100.0,-38.32607868125321,-7.477795525531327,-7.366766130843516
Durango,10,1,2022,-12.775141588856576,44.56975772765247,-35.76318968989126,-47.40338164251207,-6.596153846153846,2.13365539452496,3.3353704400150432,16.35217557044055,2.253686327077742
Durango,10,2,2022,-15.105275609179088,72.22638368705785,64.49234259784458,-67.72167797035921,-43.78673383711167,46.922094508301406,-15.834087481146303,44.99049638131443,-16.80352930898925
Durango,10,3,2022,25.510252628574147,56.18840499917415,60.52241570952205,-46.40683520599251,16.184062850729518,34.16602613374328,28.86181496122524,46.284047622842394,27.74887680302671
Durango,10,4,2022,-16.495757797717143,109.6603620093553,-26.90423162583519,-53.10095065640561,31.662054370828585,-35.421138211382114,21.01154513369624,35.15504396268205,22.66467898021578
Hidalgo,13,1,2022,-13.023814571408382,-7.7693363094628625,-10.480613893376416,-63.589479112944815,23.967161016949152,44.18500224517288,52.12458745874587,-9.061469618464436,50.40838068181819
Hidalgo,13,2,2022,-52.895344998349294,-0.8356456088275149,-31.618739030646687,-42.660857908847184,-0.6842456608811749,84.65182378019895,23.628819770435204,-19.81847383558062,21.606275163126476
Hidalgo,13,3,2022,-28.00497589799409,-26.70660724288254,-61.81069958847737,-57.21940214326001,-4.8582995951417,87.1927554980595,1.5090857911362712,-31.53042970318718,1.2495687262799482
Hidalgo,13,4,2022,-37.05246712667621,-15.783664459161148,-44.53029686864579,-43.93887945670628,7.040523945968072,18.589233625033145,-0.0145605445643667,-21.909739672328875,0.2857839891262648
